"","YEAR","AVGBSBT","AVGBSST"
"1",1982,1.840697216,4.895698265
"2",1983,3.005431805,8.400166182
"3",1984,2.037872179,6.630063629
"4",1985,2.210945445,6.045395017
"5",1986,1.517197723,4.976803962
"6",1987,3.131944699,6.061331796
"7",1988,2.158941359,6.070575593
"8",1989,2.902726913,5.90238061
"9",1990,2.37928446,6.553042239
"10",1991,2.798836818,7.183834182
"11",1992,1.769383306,6.230012683
"12",1993,3.021049248,6.318293628
"13",1994,1.299258852,5.050343758
"14",1995,1.4780181,5.447201236
"15",1996,3.324240775,5.925306291
"16",1997,2.515091925,7.395069863
"17",1998,3.389433335,7.08085059
"18",1999,0.341906476,2.815528964
"19",2000,1.991412923,5.379924703
"20",2001,2.409343008,5.251747265
"21",2002,3.288176201,6.35093369
"22",2003,3.744376795,7.357616279
"23",2004,3.374516233,7.76932332
"24",2005,3.444277133,6.813327189
"25",2006,1.496273781,4.685381121
"26",2007,1.480476732,5.505176569
"27",2008,0.935187004,3.298837395
"28",2009,1.009646449,3.956220732
"29",2010,0.963513684,4.428032673
"30",2011,2.2769129,4.248122102
"31",2012,0.64617816,3.997379895
"32",2013,1.601594006,5.32969417
"33",2014,3.265020113,7.434654561
"34",2015,3.318278506,6.560519105
"35",2016,4.822903476,9.20217342
"36",2017,2.547930315,7.231773613
"37",2018,4.479971933,7.088683694
"38",2019,4.833196331,8.841066608
"39",2021,3.619208815,6.505162999
